Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:24:00;Juan Pablo Calderon;;Cra. 7# 21-46, Bogotá;JW4H+RJ Bogotá ;No tiene el producto;Pasteleria-Restaurante Florida/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:27:00;David Medina;10000;Cra. 7# 21-96, Bogotá;JW5H+5P Bogotá;;Tropical Fruits/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:29:00;Nicolas Alvarez;8000;Cra. 7 #21-96, Bogotá;JW5H+5P  Bogotá;;Brisas del Valle/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:32:00;Juan Pablo Calderon;;Cra. 7 # 21-18, Bogotá;JW5H+7P Bogotá;No tiene el producto;Los Tronquitos/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:34:00;David Medina;12000;Cra. 7 #22-94, Bogotá;JW5H+HR Bogotá;;El Gato Gris/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:35:00;Nicolas Alvarez;8000;Cra. 7 # 23-10, Bogotá;JW5H+MR Bogotá;;Parrilla Coyote/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:36:00;Juan Pablo Calderon;8500;Cra. 7 # 23-20, Bogotá;JW5H+MR Bogotá;;Hotel Restaurante España/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:40:00;David Medina;10000;Cra. 7 # 23-56, Bogotá;JW5H+WW Bogotá;;Restaurante Imagenes/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:41:00;Nicolas Alvarez;8000;Cl. 24 #6-86, Bogotá;JW5J+X2 Bogotá;;El Artistico/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:42:00;Juan Pablo Calderon;8000;Calle 24# 6-44, Bogotá;JW5J+X2 Bogotá;;La Cassona/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:44:00;David Medina;12000;Calle 24# 6-51, Bogotá;JW5J+R5 Bogotá;;Restaurante percaderia Sinú/Especial;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:49:00;Nicolas Alvarez;16000;Cra. 5# 23-34, Bogotá;JW5J+9M Bogotá;;Hotel Grand Park/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:52:00;Juan Pablo Calderon;;Calle 23# 5-07, Bogotá;JW5J+6G Bogotá;No tiene el producto;Sandiwch coffe buddy/Solo desayuno;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:56:00;David Medina;;Calle 23# 5-19, Bogotá;JW5J+6C Bogotá;No tiene el producto;El envigadeño/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:57:00;Nicolas Alvarez;13000;Calle 23# 5-27, Bogotá;JW5J+7C Bogotá;;La sabana;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:58:00;Juan Pablo Calderon;;Calle 23# 6-49, Bogotá;JW5H+HW Bogotá;No tiene el producto;El portal del marinillo/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:01:00;David Medina;;Calle 23#6-47, Bogotá;JW5H+HW Bogotá;No tiene el producto;La monummental de las ventas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:03:00;Nicolas Alvarez;8300;Calle 23# 6-68, Bogotá;JW5H+JW Bogotá;;Garitero/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:05:00;Juan Pablo Calderon;9000;Calle 23# 6-72, Bogotá;JW5H+JV Bogotá;;La Prosperidad/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:08:00;David Medina;8500;Calle 22# 6-80, Bogotá;JW5H+5R Bogotá;;Man Han/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:11:00;Nicolas Alvarez;10500;Calle 22# 6-67, Bogotá;JW5H+4Q Bogotá;;Oh la la/Del día;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:12:00;Juan Pablo Calderon;8000;Calle 22 #6 - 60, Bogotá;JW5H+5Q Bogotá;;El Danubio/Ejecutvo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:13:00;David Medina;;Calle 22 #5-25, Bogotá;JW4J+V6 Bogotá;No tiene el producto;Restaurante Guadrarrama/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:18:00;Nicolas Alvarez;7000;Cl. 20 #19-74, Bogotá;JW4J+33 Bogotá;;Punto 20/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;12:24:00;Juan Pablo Calderon;8500;Cra. 5 #17-68, Bogotá;JW3H+7P Bogotá;;Doratto/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:00:00;David Medina;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:04:00;Nicolas Alvarez;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:08:00;Juan Pablo Calderon;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:12:00;David Medina;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:16:00;Nicolas Alvarez;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:20:00;Juan Pablo Calderon;;Calle 16 #4-51, Bogotá;JW2J+H3 Bogotá;No tiene el producto;Plazoleta de comidas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:24:00;David Medina;15000;Calle 16 #4-98, Bogotá;JW2J+M4 Bogotá;;Sabores marinos/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:28:00;Nicolas Alvarez;12000;Calle 16 #4-17, Bogotá;JW2J+Q5 Bogotá;;Sahara Arabian Food/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:36:00;David Medina;12500;Calle 18 #4-50, Bogotá;JW3J+69 Bogotá;;rincon cubano/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:44:00;Juan Pablo Calderon;10000;Calle 19 #4-1, Bogotá;JW3J+GF Bogotá;;mamma mia ristorante, cafe, bar/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:48:00;David Medina;11000;Calle 19 #4-58, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;1
Restaurante;04/03/2019;11:52:00;Nicolas Alvarez;8000;Calle 19 #4-56, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;11:56:00;Juan Pablo Calderon;10000;Calle 19 #4-56, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:00:00;David Medina;11500;Calle 19 #4-56, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:04:00;Nicolas Alvarez;10500;Calle 19 #4-56, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:08:00;Juan Pablo Calderon;8000;Calle 19 #4-56, Bogotá;JW3J+HG Bogotá;;Pasaje internacional del Gourmet Olga Karina/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:12:00;David Medina;10000;Cra 4 #19-58, Bogotá;JW3J+JG Bogotá;;Restaurante y cafeteria la casita de Luzma/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:16:00;Nicolas Alvarez;15000;Calle 19 #4-82, Bogotá;JW3J+JG Bogotá;;El rincon del pacifico/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:20:00;Juan Pablo Calderon;9000;Cra 5# 12c -44;HWXH+X3 Bogotá;;Cocoa/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:24:00;David Medina;9000;Cra 5 #16-15;JW2H+J9 Bogotá;;La Quinta de Chantilly/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:28:00;Nicolas Alvarez;9000;Cra 5 #16-39;JW2H+J9 Bogotá;;Grosso/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:32:00;Nicolas Alvarez;;Calle 20 #4-36;JW3J+VC Bogotá;;Frutos del pacifico/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:48:00;Nicolas Alvarez;;Carrera 5#18-99, Bogotá;JW3H+MV Bogotá;;Mi bandeja Suiza/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:52:00;Nicolas Alvarez;;Calle 20 #4-68;JW4J+27 Bogotá;;Ricura y Sazones del Choco/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;12:56:00;Juan Pablo Calderon;;Cra. 4 #20-02, Bogotá;JW3J+QJ Bogotá;No tiene el producto;Sabores del mar/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;13:00:00;David Medina;;Cra. 4 #20-10, Bogotá;JW3J+RJ Bogotá;No tiene el producto;Litoral del pacifico/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;13:04:00;Nicolas Alvarez;;Cra. 4 #20-22, Bogotá;JW3J+VJ Bogotá;No tiene el producto;Percaderia Las Juanas/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;13:08:00;Juan Pablo Calderon;8900;Calle 18 #5-99, Bogotá;JW3H+MV Bogotá;;Don dito desayunos/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;13:12:00;Juan Pablo Calderon;13000;Calle 20 #4-22, Bogotá;JW3J+VJ Bogotá;;Sabores del pacifico/Restaurante  de mar/Del día;;;;;;;;;;;;;;;;;
Restaurante;04/03/2019;13:16:00;David Medina;10000;Calle 23 #4-06, Bogotá;JW4M+W3 Bogotá;;Isabellas restaurante/Del día;;;;;;;;;;;;;;;;;
