cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,28/02/2019,4:02:00,Daniel Camilo Tuirán,"150,00",Carrera 5 # 20 38,JW4J+63,Bogotá,67P7JW4J+63,"4.6055625,-74.0698125",,,F,0,
Minutos,28/02/2019,4:05:00,Daniel Camilo Tuirán,"200,00",Carrera 5 #20 8,JW4J+43,Bogotá,67P7JW4J+43,"4.6053125,-74.0698125",,,M,1,
Minutos,28/02/2019,4:08:00,Daniel Camilo Tuirán,"200,00",Carrera 20 #5 44,JW4H+5W,Bogotá,67P7JW4H+5W,"4.6054375,-74.0701875",,,M,1,
Minutos,28/02/2019,4:14:00,Daniel Camilo Tuirán,"200,00",calle 20 # 6 - 02,JW4H+8P,Bogotá,67P7JW4H+8P,"4.6058125,-74.0706875",,,M,1,
Minutos,28/02/2019,4:20:00,Daniel Camilo Tuirán,"200,00",carrera 7 # 20,JW4H+FF,Bogotá,67P7JW4H+FF,"4.6061875,-74.0713125",,,M,1,
Minutos,28/02/2019,4:22:00,Daniel Camilo Tuirán,"200,00",carrera 7 # 20,JW4H+GF,Bogotá,67P7JW4H+GF,"4.6063125,-74.0713125",,,M,1,
Minutos,28/02/2019,4:24:00,Daniel Camilo Tuirán,"200,00",carrera 7 # 20,JW4H+GF,Bogotá,67P7JW4H+GF,"4.6063125,-74.0713125",,,M,1,
Minutos,28/02/2019,4:27:00,Daniel Camilo Tuirán,"100,00",carrera 7 # 22,JW5H+6M,Bogotá,67P7JW5H+6M,"4.6080625,-74.0708125",,,M,1,
Minutos,3/04/2019,9:56:00,Daniel Camilo Tuirán,"100,00",carrera 7 # 22,JW5H+6M,Bogotá,67P7JW5H+6M,"4.6080625,-74.0708125",,,M,1,
Minutos,3/04/2019,10:06:00,Daniel Camilo Tuirán,"100,00",carrera 7 # 22,JW5H+5M,Bogotá,67P7JW5H+5M,"4.6079375,-74.0708125",,,M,1,
Minutos,3/04/2019,10:13:00,Daniel Camilo Tuirán,"200,00",carrera 7 # 22 -31,JW5H+8P,Bogotá,67P7JW5H+8P,"4.6083125,-74.0706875",,,F,0,
Minutos,3/04/2019,10:20:00,Daniel Camilo Tuirán,"100,00",carrera 7 # 23 -17,JW5H+PR,Bogotá,67P7JW5H+PR,"4.6093125,-74.0704375",,,F,0,
Minutos,3/04/2019,10:24:00,Daniel Camilo Tuirán,"100,00",carrera 7 # 23 -17,JW5H+PR,Bogotá,67P7JW5H+PR,"4.6093125,-74.0704375",,,F,0,
Minutos,3/04/2019,10:26:00,Daniel Camilo Tuirán,"100,00",Carrera 7 # 24 esquina,JW5H+XW,Bogotá,67P7JW5H+XW,"4.6099375,-74.0701875",,,M,1,
Minutos,3/04/2019,10:28:00,Daniel Camilo Tuirán,"100,00",Carrera 7 # 24 esquina,JW5H+XV,Bogotá,67P7JW5H+XV,"4.6099375,-74.0703125",,,M,1,
Minutos,3/04/2019,10:30:00,Daniel Camilo Tuirán,"100,00",Carrera 7 # 24 esquina,JW5H+XW,Bogotá,67P7JW5H+XW,"4.6099375,-74.0701875",,,M,1,
Minutos,3/04/2019,4:16:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 23 40,JW5M+25,Bogotá,67P7JW5M+25,"4.6075625,-74.0670625",,,F,0,
Minutos,3/04/2019,4:21:00,Daniel Camilo Tuirán,"200,00",Carrera 4 # 23 -15,JW4M+X4,Bogotá,67P7JW4M+X4,"4.6074375,-74.0671875",,,F,0,
